Date,Name,Symbol,Price,Market Cap,Circulating Supply
Historical Snapshot - 03 January 2021,Bitcoin,BTC,"$32,782.02","$609,409,213,147.03","18,589,737"
Historical Snapshot - 03 January 2021,Ethereum,ETH,$975.51,"$111,309,985,610.91","114,104,675"
Historical Snapshot - 03 January 2021,Tether,USDT,$1.00,"$21,340,101,768.04","21,329,136,250"
Historical Snapshot - 03 January 2021,Litecoin,LTC,$160.19,"$10,610,100,156.81","66,234,230"
Historical Snapshot - 03 January 2021,XRP,XRP,$0.2258,"$10,254,417,776.80","45,404,028,640"
Historical Snapshot - 03 January 2021,Polkadot,DOT,$10.03,"$8,995,148,461.43","896,530,965"
Historical Snapshot - 03 January 2021,Bitcoin Cash,BCH,$421.79,"$7,845,655,333.38","18,600,863"
Historical Snapshot - 03 January 2021,Cardano,ADA,$0.205,"$6,377,915,101.91","31,112,484,646"
Historical Snapshot - 03 January 2021,Binance Coin,BNB,$41.15,"$5,942,182,740.66","144,406,561"
Historical Snapshot - 03 January 2021,Chainlink,LINK,$13.65,"$5,453,374,284.89","399,509,556"
Historical Snapshot - 03 January 2021,USD Coin,USDC,$0.9997,"$4,208,024,428.08","4,209,136,024"
Historical Snapshot - 03 January 2021,Wrapped Bitcoin,WBTC,"$33,008.13","$3,819,401,682.96","115,711"
Historical Snapshot - 03 January 2021,Bitcoin SV,BSV,$171.39,"$3,190,473,983.67","18,615,214"
Historical Snapshot - 03 January 2021,Stellar,XLM,$0.1364,"$2,989,656,210.89","21,914,609,976"
Historical Snapshot - 03 January 2021,EOS,EOS,$2.80,"$2,625,024,378.63","939,168,384"
Historical Snapshot - 03 January 2021,Monero,XMR,$138.06,"$2,458,046,204.50","17,803,618"
Historical Snapshot - 03 January 2021,THETA,THETA,$2.12,"$2,121,383,111.85","1,000,000,000"
Historical Snapshot - 03 January 2021,TRON,TRX,$0.02949,"$2,113,567,006.58","71,659,657,369"
Historical Snapshot - 03 January 2021,NEM,XEM,$0.2105,"$1,894,334,537.88","8,999,999,999"
Historical Snapshot - 03 January 2021,VeChain,VET,$0.02592,"$1,667,128,428.69","64,315,576,989"
Historical Snapshot - 13 December 2020,Bitcoin,BTC,"$19,142.38","$355,479,173,805.70","18,570,268"
Historical Snapshot - 13 December 2020,Ethereum,ETH,$589.66,"$67,115,726,662.03","113,820,439"
Historical Snapshot - 13 December 2020,XRP,XRP,$0.5115,"$23,222,510,728.94","45,404,028,640"
