Date,Name,Symbol,Price,Market Cap,Circulating Supply,url
Historical Snapshot - 03 February 2019,Bitcoin,BTC,,"$60,681,847,607.58","17,517,787",https://coinmarketcap.com/historical/20190203/
Historical Snapshot - 17 February 2019,Bitcoin,BTC,,"$64,453,368,778.96","17,543,887",https://coinmarketcap.com/historical/20190217/
Historical Snapshot - 20 January 2019,Bitcoin,BTC,,"$62,990,143,284.10","17,492,337",https://coinmarketcap.com/historical/20190120/
Historical Snapshot - 10 February 2019,Bitcoin,BTC,,"$64,694,025,950.73","17,531,362",https://coinmarketcap.com/historical/20190210/
Historical Snapshot - 27 January 2019,Bitcoin,BTC,,"$62,737,274,092.74","17,504,987",https://coinmarketcap.com/historical/20190127/
Historical Snapshot - 06 January 2019,Bitcoin,BTC,,"$71,206,795,852.79","17,467,062",https://coinmarketcap.com/historical/20190106/
Historical Snapshot - 25 November 2018,Bitcoin,BTC,,"$69,749,231,721.85","17,393,962",https://coinmarketcap.com/historical/20181125/
Historical Snapshot - 09 December 2018,Bitcoin,BTC,,"$62,942,160,928.03","17,415,075",https://coinmarketcap.com/historical/20181209/
Historical Snapshot - 02 December 2018,Bitcoin,BTC,,"$72,050,487,506.13","17,404,012",https://coinmarketcap.com/historical/20181202/
Historical Snapshot - 11 November 2018,Bitcoin,BTC,,"$111,373,421,487.60","17,371,512",https://coinmarketcap.com/historical/20181111/
Historical Snapshot - 23 December 2018,Bitcoin,BTC,,"$69,741,217,416.60","17,439,750",https://coinmarketcap.com/historical/20181223/
Historical Snapshot - 18 November 2018,Bitcoin,BTC,,"$97,753,742,390.88","17,382,950",https://coinmarketcap.com/historical/20181118/
Historical Snapshot - 21 October 2018,Bitcoin,BTC,,"$112,369,074,204.90","17,334,625",https://coinmarketcap.com/historical/20181021/
Historical Snapshot - 07 October 2018,Bitcoin,BTC,,"$114,298,799,169.34","17,310,275",https://coinmarketcap.com/historical/20181007/
Historical Snapshot - 30 December 2018,Bitcoin,BTC,,"$67,475,512,827.39","17,453,787",https://coinmarketcap.com/historical/20181230/
Historical Snapshot - 14 October 2018,Bitcoin,BTC,,"$108,972,551,127.20","17,322,175",https://coinmarketcap.com/historical/20181014/
Historical Snapshot - 04 November 2018,Bitcoin,BTC,,"$110,689,204,562.51","17,359,937",https://coinmarketcap.com/historical/20181104/
Historical Snapshot - 30 September 2018,Bitcoin,BTC,,"$114,608,461,359.46","17,297,937",https://coinmarketcap.com/historical/20180930/
Historical Snapshot - 16 December 2018,Bitcoin,BTC,,"$56,685,436,643.77","17,426,450",https://coinmarketcap.com/historical/20181216/
Historical Snapshot - 28 October 2018,Bitcoin,BTC,,"$112,518,368,982.01","17,346,850",https://coinmarketcap.com/historical/20181028/
Historical Snapshot - 12 August 2018,Bitcoin,BTC,,"$108,790,173,990.81","17,206,325",https://coinmarketcap.com/historical/20180812/
Historical Snapshot - 26 August 2018,Bitcoin,BTC,,"$115,585,150,965.19","17,232,850",https://coinmarketcap.com/historical/20180826/
Historical Snapshot - 05 August 2018,Bitcoin,BTC,,"$121,526,129,417.37","17,192,675",https://coinmarketcap.com/historical/20180805/
Historical Snapshot - 19 August 2018,Bitcoin,BTC,,"$112,031,818,550.21","17,219,587",https://coinmarketcap.com/historical/20180819/
Historical Snapshot - 16 September 2018,Bitcoin,BTC,,"$112,562,429,293.61","17,271,637",https://coinmarketcap.com/historical/20180916/
Historical Snapshot - 23 September 2018,Bitcoin,BTC,,"$115,990,469,904.05","17,284,575",https://coinmarketcap.com/historical/20180923/
